상추,생육일,생육일별_잎_중량
case1,1,0.167719388078703
case1,2,0.181787272321195
case1,3,0.265921009145362
case1,4,0.423650022570148
case1,5,0.475272432100058
case1,6,1.94187905498786
case1,7,2.33090087317029
case1,8,3.50324857233179
case1,9,4.45823929008714
case1,10,5.31563026349437
case1,11,6.23378221607406
case1,12,7.77475053996193
case1,13,9.44717552517705
case1,14,11.2070198973396
case1,15,14.3993257739001
case1,16,17.792803392748
case1,17,21.6577637240387
case1,18,26.520552831132
case1,19,32.5334545268946
case1,20,39.5417147187192
case1,21,47.5384800692857
case1,22,55.8406479112313
case1,23,65.4975146664984
case1,24,74.6938345249564
case1,25,81.5419579524476
case1,26,82.8472745459845
case1,27,82.4824831050573
case1,28,82.2516268247695
case2,1,1.05117766026507
case2,2,1.2204517207189
case2,3,1.33302399866082
case2,4,1.45350550780559
case2,5,1.61264165032769
case2,6,1.8037850697473
case2,7,2.28657708352283
case2,8,2.81616731358391
case2,9,3.40202674906942
case2,10,4.16890865555352
case2,11,4.99559433892768
case2,12,5.81319419469111
case2,13,7.10629679332782
case2,14,8.69622891141414
case2,15,10.2161600725886
case2,16,12.4693941117117
case2,17,14.8194184792331
case2,18,17.9702846243061
case2,19,21.6575748738069
case2,20,26.9089797439284
case2,21,31.1026522411133
case2,22,33.1008214731279
case2,23,41.6172947490675
case2,24,48.8360817061528
case2,25,52.8017273817821
case2,26,55.3739879880468
case2,27,56.7719754505572
case2,28,65.5053839144767
case3,1,0.685390812447863
case3,2,1.33735303881189
case3,3,1.57835987639337
case3,4,1.85188256471435
case3,5,1.96809572828989
case3,6,2.58613427102048
case3,7,2.85568826365788
case3,8,3.47504755541329
case3,9,4.07519653207845
case3,10,4.46614321782041
case3,11,5.03873507035506
case3,12,5.97483305759368
case3,13,6.71782171357832
case3,14,7.56095171477643
case3,15,8.65654294027983
case3,16,10.1161795115087
case3,17,11.3346863484218
case3,18,13.1630873509911
case3,19,14.3707268928921
case3,20,15.7873016268232
case3,21,17.8398731788375
case3,22,20.2461426332906
case3,23,23.0647931967451
case3,24,26.89254392547705
case3,25,30.720294654209
case3,26,35.2716306152083
case3,27,39.8473296002481
case3,28,44.3248908853415
case4,1,1.65691746966644
case4,2,1.92378117879009
case4,3,2.32279267026188
case4,4,2.78164394561272
case4,5,3.68051392130197
case4,6,5.16724788765544
case4,7,6.22172344734395
case4,8,7.52757507813099
case4,9,8.9466006078713
case4,10,10.5909912289216
case4,11,12.1994933589421
case4,12,14.2759933752116
case4,13,17.1607859821039
case4,14,22.0659473422598
